Vibhav Gogate,Rina Dechter
Nathanael Hyafil,Craig Boutilier
Catriona Kennedy,Timothy Weale
Deng Cai,Xiaofei He,Jiawei Han 0001
Zhenglu Yang,Lin Li 0001,Botao Wang,Masaru Kitsuregawa
Lilyana Mihalkova,Tuyen N. Huynh,Raymond J. Mooney
Daria Terekhov,J. Christopher Beck,Kenneth N. Brown
Xiaojin Zhu 0001,Andrew B. Goldberg
Shimon Whiteson,Daniel Whiteson
Matthew E. Taylor,Peter Stone
Dou Shen,Min Qin,Weizhu Chen,Qiang Yang 0001,Zheng Chen
Matthias Hein 0001,Markus Maier
Yuval Marom,Ingrid Zukerman,Nathalie Japkowicz
Rui Wang 0005,Günter Neumann
Jie Bao 0001,Giora Slutzki,Vasant G. Honavar
Kurt D. Bollacker,Robert P. Cook,Patrick Tufts
Edith Elkind,Leslie Ann Goldberg,Paul W. Goldberg,Michael Wooldridge
Beenish Bhatia,Tim Oates,Yan Xiao,Peter Fu-Ming Hu
Joshua Letchford,Yevgeniy Vorobeychik,Jeff Z. Pan,Edward Thomas
Alfredo Gabaldon,Gerhard Lakemeyer
Sushmita Roy,Terran Lane,Margaret Werner-Washburne
Gerhard Brewka,Thomas Eiter
Chien-Ju Ho,Tsung-Hsiang Chang,Jane Yung-jen Hsu
Rohit J. Kate,Raymond J. Mooney
Zhen Liu,Anand Ranganathan,Anton Riabov
Andrew Nuxoll,John E. Laird
Régis Sabbadin,Jérôme Lang,Nasolo Ravoanjanahry
Alexandra Meliou,Andreas Krause 0001,Carlos Guestrin,Joseph M. Hellerstein
Ken Barker,Bhalchandra Agashe,Shaw Yi Chaw,James Fan,Noah S. Friedland,Michael Robert Glass,Jerry R. Hobbs,Eduard H. Hovy,David J. Israel,Doo Soon Kim,Rutu Mulkar-Mehta,Sourabh Patwardhan,Bruce W. Porter,Dan Tecuci,Peter Z. Yeh
Willem Jan van Hoeve,Carla P. Gomes,Bart Selman,Michele Lombardi 0001
Marc Pickett,Tim Oates
